Summary,-,-,All,62,4.0,1.0,0.62
Step,Source,Target,Path,Distance,Visit Time (hours),Road Time (hours),Average Time Per Node
1,4,4,[4],0,0.5,0.0,-
2,4,8,"[4, 8]",9,1.0,0.1,-
3,8,7,"[8, 0, 3, 7]",35,1.5,0.6,-
4,7,3,"[7, 3]",13,2.0,0.2,-
5,3,0,"[3, 0]",8,2.5,0.1,-
6,0,1,"[0, 3, 1]",16,3.0,0.3,-
7,1,2,"[1, 2]",14,3.5,0.2,-
8,2,6,"[2, 6]",12,4.0,0.2,-
9,6,5,"[6, 5]",13,4.5,0.2,-
Summary,-,-,All,120,4.5,2.0,0.72
Step,Source,Target,Path,Distance,Visit Time (hours),Road Time (hours),Average Time Per Node
1,0,1,"[0, 1]",4,0.5,0.1,-
2,1,3,"[1, 3]",8,1.0,0.1,-
3,3,0,"[3, 0]",11,1.5,0.2,-
4,0,4,"[0, 4]",4,2.0,0.1,-
5,4,2,"[4, 0, 2]",10,2.5,0.2,-
Summary,-,-,All,37,2.5,0.6,0.62
Step,Source,Target,Path,Distance,Visit Time (hours),Road Time (hours),Average Time Per Node
1,2,0,"[2, 0]",11,0.5,0.2,-
2,0,5,"[0, 5]",4,1.0,0.1,-
3,5,3,"[5, 3]",8,1.5,0.1,-
4,3,4,"[3, 4]",1,2.0,0.0,-
5,4,1,"[4, 1]",12,2.5,0.2,-
6,1,6,"[1, 4, 6]",29,3.0,0.5,-
7,6,2,"[6, 2]",7,3.5,0.1,-
Summary,-,-,All,72,3.5,1.2,0.67
Step,Source,Target,Path,Distance,Visit Time (hours),Road Time (hours),Average Time Per Node
1,1,1,[1],0,0.5,0.0,-
2,1,4,"[1, 3, 4]",10,1.0,0.2,-
3,4,2,"[4, 2]",11,1.5,0.2,-
4,2,0,"[2, 0]",16,2.0,0.3,-
5,0,3,"[0, 3]",1,2.5,0.0,-
6,3,5,"[3, 0, 5]",4,3.0,0.1,-
Summary,-,-,All,42,3.0,0.7,0.62
Step,Source,Target,Path,Distance,Visit Time (hours),Road Time (hours),Average Time Per Node
1,7,7,[7],0,0.5,0.0,-
2,7,0,"[7, 0]",5,1.0,0.1,-
3,0,3,"[0, 3]",15,1.5,0.2,-
4,3,2,"[3, 6, 1, 2]",25,2.0,0.4,-
5,2,1,"[2, 1]",10,2.5,0.2,-
6,1,6,"[1, 6]",11,3.0,0.2,-
7,6,4,"[6, 3, 4]",21,3.5,0.3,-
8,4,8,"[4, 8]",19,4.0,0.3,-
9,8,5,"[8, 5]",18,4.5,0.3,-
Summary,-,-,All,124,4.5,2.1,0.73
Step,Source,Target,Path,Distance,Visit Time (hours),Road Time (hours),Average Time Per Node
1,6,6,[6],0,0.5,0.0,-
2,6,2,"[6, 2]",1,1.0,0.0,-
3,2,1,"[2, 0, 1]",12,1.5,0.2,-
4,1,7,"[1, 3, 7]",8,2.0,0.1,-
5,7,3,"[7, 3]",7,2.5,0.1,-
6,3,0,"[3, 1, 0]",10,3.0,0.2,-
7,0,4,"[0, 4]",1,3.5,0.0,-
8,4,5,"[4, 5]",13,4.0,0.2,-
Summary,-,-,All,52,4.0,0.9,0.61
Step,Source,Target,Path,Distance,Visit Time (hours),Road Time (hours),Average Time Per Node
1,1,1,[1],0,0.5,0.0,-
2,1,3,"[1, 6, 9, 3]",14,1.0,0.2,-
3,3,0,"[3, 0]",2,1.5,0.0,-
4,0,8,"[0, 3, 8]",14,2.0,0.2,-
5,8,5,"[8, 5]",2,2.5,0.0,-
6,5,4,"[5, 4]",10,3.0,0.2,-
7,4,2,"[4, 0, 2]",11,3.5,0.2,-
8,2,9,"[2, 0, 3, 9]",10,4.0,0.2,-
9,9,6,"[9, 6]",2,4.5,0.0,-
10,6,7,"[6, 9, 3, 7]",28,5.0,0.5,-
Summary,-,-,All,93,5.0,1.6,0.66
Step,Source,Target,Path,Distance,Visit Time (hours),Road Time (hours),Average Time Per Node
1,1,4,"[1, 2, 4]",6,0.5,0.1,-
2,4,3,"[4, 3]",9,1.0,0.1,-
3,3,0,"[3, 5, 0]",16,1.5,0.3,-
4,0,5,"[0, 5]",6,2.0,0.1,-
5,5,6,"[5, 3, 6]",11,2.5,0.2,-
6,6,2,"[6, 3, 4, 2]",15,3.0,0.2,-
7,2,1,"[2, 1]",1,3.5,0.0,-
8,1,8,"[1, 8]",10,4.0,0.2,-
9,8,7,"[8, 7]",15,4.5,0.2,-
Summary,-,-,All,89,4.5,1.5,0.67
Step,Source,Target,Path,Distance,Visit Time (hours),Road Time (hours),Average Time Per Node
1,3,0,"[3, 0]",17,0.5,0.3,-
2,0,4,"[0, 4]",3,1.0,0.1,-
3,4,1,"[4, 2, 1]",20,1.5,0.3,-
4,1,5,"[1, 5]",3,2.0,0.1,-
5,5,2,"[5, 1, 2]",12,2.5,0.2,-
6,2,3,"[2, 3]",20,3.0,0.3,-
Summary,-,-,All,75,3.0,1.2,0.7
